Product Naam;Merk/Verkoper;Type Snack;Gewicht/Inhoud;Aantal Stuks;Doelgroep;Prijs €;Korting;Leveringstijd;Bijzonderheden
Chewpi Kauwstaaf (20+ kg) - Extra Large;Chewpi;Yak Kaas Baton;120 g;1;Elke levensfase;15,99;-13% bij 2;11 dec;100% natuurlijk, Belgisch
Chewpi Kauwstaaf (<5 kg) - Small 4-pack;Chewpi;Yak Kaas Baton;120 g;4;Elke levensfase;15,99;-25% bij 4;11 dec;Voor kleine honden (<5kg)
Chewpi Kauwstaaf (5-10kg) - Medium 3-pack;Chewpi;Yak Kaas Baton;180 g;3;Elke levensfase;17,99;-22% bij 4;11 dec;Himalaya traditie
Chewpi Kauwstaaf (10-20kg) - Large 2-pack;Chewpi;Yak Kaas Baton;240 g;2;Elke levensfase;19,99;-30% bij 4;11 dec;Voor middelgrote honden
Landman Eendfilet Gedroogd;Landman Hoevelaken;Eend Filet;400 g;1;Elke levensfase;21,50;-10% bij 4;Woensdag;100% natuurlijk, hypoallergeen
HobbyFirst Canex Trainers Konijn;Hobbyfirst;Trainers;250 g;1;Junior (1-2 jaar);18,00;-35% bij 4;Morgen;Pure Trainers, supplement
Softies Eend;Bellobox;Zachte Snack;100 g;1;Elke levensfase;8,50;-25% bij 3;Woensdag;Ideaal voor training
BROK Verjaardag Snackpakket;BROK shop;Assortiment;300 g;4 stuks;Elke levensfase;25,00;-10% bij 3;15 dec;Runder, Buffelhuid mix
Petstyle Living Sticks Kip 100 stuks;Petstyle Living;Gedraaide Sticks;n.b.;100;n.b.;25,95;n.b.;n.b.;Best-seller (969 reviews)
Petstyle Living Sticks Eend 100 stuks;Petstyle Living;Gedraaide Sticks;n.b.;100;n.b.;25,95;n.b.;n.b.;Populair (969 reviews)
Petstyle Living Sticks Kip & Rund 100 stuks;Petstyle Living;Gedraaide Sticks;n.b.;100;n.b.;25,95;n.b.;n.b.;Mixed (969 reviews)
Petstyle Living Kipfilet;Petstyle Living;Filet;1000 g;1;n.b.;29,95;n.b.;n.b.;Puur kipfilet
Petstyle Living Kauwstaven Kip;Petstyle Living;Kauwstaven;n.b.;20;n.b.;29,95;n.b.;n.b.;20cm lang
Petstyle Living Kauwring Kip;Petstyle Living;Kauwring;n.b.;20;n.b.;32,95;n.b.;n.b.;7,5cm, 91 reviews
Runderbot XL 5 stuks;Merkloos/Oswalt;Runder Os;n.b.;5;Adult (2-8 jaar);16,49;-12% bij 2;Morgen;100% natuurlijk
Konijnenoren 1kg;Pawty/Oswalt;Konijn Oren;1000 g;1;Elke levensfase;17,49;-29% bij 4;Morgen;Met haar, top kwaliteit
Konijnenoren 2x1kg Duo;Merkloos/Oswalt;Konijn Oren;2000 g;1;Elke levensfase;26,49;-6% bij 2;Morgen;Double pack
Anti Poep Eten DogSuppy;DogSuppy.be;Supplement;237 g;60;Elke levensfase;28,40;-18% bij 4;Morgen;Coprophagia, digestie & adem
Trainers Runderlong 1kg;lutopets;Trainers;1000 g;1;Elke levensfase;24,90;-10% bij 3;Woensdag;Hypoallergeen, luchtig
Gedroogde Kippenpoten 1kg;123diepvriesvoer.nl;Kippenpooten;1000 g;5;Elke levensfase;14,99;-27% bij 2;Morgen;100% natuurlijk, glutenvrij
Animalking Runderhart 2kg;Animal King;Vlees;2000 g;1;Alle fasen;39,99;n.b.;Woensdag;Voor training/beloning
BROK Stevige Kauwers 2kg;BROK shop;Assortiment;2000 g;1;Elke levensfase;35,00;-10% bij 3;15 dec;Voor sterke kauwers
Gedroogde Longen 6x1kg;Merkloos/Oswalt;Longen;6000 g;6;Elke levensfase;44,99;n.b.;Morgen;Zeer verteerbaar
Pawty Snackbox Mix;Pawty BE;Assortiment;2000 g;100;Elke levensfase;29,99;n.b.;10 dec;Diverse natuurlijke snacks
Hertengewei XXL (400-450g);Topdiervoeding.nl;Gewei;400 g;1;Elke levensfase;48,99;-10% bij 4;Woensdag;Zeer lang kauwplezier
Hertengewei L (200-250g);Topdiervoeding.nl;Gewei;250 g;1;Elke levensfase;27,99;-20% bij 4;Woensdag;Medium large
Hertengewei M (150-180g);Topdiervoeding.nl;Gewei;180 g;1;Elke levensfase;23,99;-10% bij 4;Woensdag;Medium maat
Hertengewei XXL (360-400g);Topdiervoeding.nl;Gewei;400 g;1;Elke levensfase;42,99;-10% bij 4;Woensdag;Extra large kauwbot
Imby Multipack 9x100gr;Imby;Assortiment;900 g;9;Elke levensfase;29,70;n.b.;Woensdag;Vet/Dental/Bedtime mix
Imby Skin & Coat 5x100gr;Imby;Insecten Koekjes;500 g;5;Elke levensfase;24,75;n.b.;Woensdag;Insect-based, laag calorie
Runderspaghetti 200g;Lifetime Petfood;Spaghetti;200 g;1;Alle fasen;14,95;n.b.;Woensdag;Hypoallergeen, gedroogd
Rundvleestrainers 400g;Lifetime Petfood;Trainers;400 g;1;Alle fasen;19,95;n.b.;Woensdag;Trainingssnack
Runderkophuid 15cm 200g;Lifetime Petfood;Kophuid;215 g;1;Alle fasen;11,95;n.b.;Woensdag;Hypoallergeen
Hondenbot Olijfhout L;Kivo Petfood;Olijfhout;400 g;1;Elke levensfase;14,50;-15% bij 4;Donderdag;Splitst niet
Kivo Petfood Spiering 200g;Kivo Petfood;Vis;200 g;1;Elke levensfase;12,95;-15% bij 3;Donderdag;100% spiering
Pensstaafjes Rund 1000g;Merkloos/Oswalt;Pens;1000 g;1;Elke levensfase;22,49;-7% bij 2;Morgen;Runderpens staafjes
Yak Kaas YAKBOT S 5 stuks;Merkloos/Topmast;Yak Kaas;60 g;5;Elke levensfase;22,99;n.b.;n.b.;60-70g per stuk
Yak Kaas YAKBOT M 5 stuks;Merkloos/Topmast;Yak Kaas;85 g;5;Elke levensfase;23,99;n.b.;11 dec;Best-seller (34 reviews)
Yak Kaas YAKBOT L 3 stuks;Merkloos/Topmast;Yak Kaas;110 g;3;Elke levensfase;25,95;n.b.;n.b.;90-100g per stuk
Yak Kaas YAKBOT XL 2 stuks;Merkloos/Topmast;Yak Kaas;110 g;2;Elke levensfase;20,99;n.b.;11 dec;115-125g per stuk
Yak Kaas 120-140g;Merkloos;Yak Kaas;120 g;1;Elke levensfase;12,49;-15% bij 5;Woensdag;Origineel Himalaya
Qwisple Lamskophuid 1kg;Qwisple;Lamsoren;1000 g;1;Alle fasen;18,99;-26% bij 4;10 dec;Gedroogd, natuurlijk
Qwisple Geitenoren 1kg;Qwisple;Geitenoren;1000 g;1;Alle fasen;29,99;-17% bij 4;10 dec;Gedroogd, natuurlijk
Longen Gerookt 1kg;Merkloos/Oswalt;Longen;1000 g;1;Adult (2-8 jaar);12,99;-15% bij 2;Morgen;Gerookt, 100% rund
Runderluchtpijp 20 stuks;Topdiervoeding.nl;Luchtpijp;3000 g;20;Elke levensfase;39,99;n.b.;Woensdag;30cm lang, reinigt tanden
Varkensoren Chips 1kg;Boomy;Varkensoren;1000 g;1;Elke levensfase;22,99;-20% bij 3;Morgen;Krokant, 6-7cm stukjes
Varkens Neuzen 25 stuks;snackmeester;Varkens Neuzen;n.b.;25;Elke levensfase;21,99;-18% bij 2;Morgen;Sterke kauw, laag vet
Konijn Oren 1kg - snackmeester;snackmeester;Konijn Oren;1000 g;1;Elke levensfase;16,99;-3% bij 2;Morgen;Hypoallergeen
Konijn Oren 1kg - snackmeester;snackmeester;Konijn Oren;1000 g;1;Elke levensfase;23,99;-21% bij 2;Morgen;Extra kwaliteit
Advanced Chew Dental Sticks;DogSuppy.be;Dental Sticks;480 g;21;Elke levensfase;23,40;n.b.;11 dec;Zalm, tandenhygiëne
Puppy Bellobox - Zonder speelgoed;Bellobox B.V.;Box;n.b.;n.b.;Puppy (1-12 mnd);39,94;-15% bij 2;11 dec;Speciaal voor puppy's
Puppy Bellobox - Met speelgoed;Bellobox B.V.;Box;n.b.;1;Puppy (1-12 mnd);39,94;-15% bij 2;11 dec;Inclusief speelgoed
Hondensnack pakket mix;Versvleeshonden.nl;Assortiment;450 g;1;Elke levensfase;19,99;n.b.;Woensdag;Kennismaakpakket
Take & Break Mixdoos 48 stuks;Versvleeshonden.nl;Mix Snacks;3200 g;50;Elke levensfase;31,95;-6% bij 2;Woensdag;4 verschillende smaken
Take & Break Pens 50 stuks;Versvleeshonden.nl;Pens Snacks;3200 g;50;Elke levensfase;31,50;-14% bij 2;Woensdag;Hypoallergeen, glutenvrij
Runderkophuid Topmast 2x1kg;Topmast;Kophuid;2000 g;2;Adult (2-8 jaar);21,49;-19% bij 2;Morgen;12-15cm lang
Kipfilet Topdiervoeding 1kg;Topdiervoeding.nl;Kipfilet;1000 g;1;Elke levensfase;26,99;-33% bij 4;Woensdag;100% kip, gedroogd
Petsnack Runderkophuid Platen 5kg;Petsnack/Oswalt;Kophuid;5010 g;1;Elke levensfase;39,99;-15% bij 2;Morgen;Grote kauwervaringen
Kauwstaaf Runderhuid 13cm 50 stuks;123diepvriesvoer.nl;Kauwstaven;1400 g;50;Elke levensfase;34,99;n.b.;11 dec;Tanden tandenborstel
Runder Kauwbot 15cm;Trimmi;Kauwbot;100 g;1;Elke levensfase;6,95;-50% bij 4;Woensdag;100% rund, lekker & gezond
Soft Bones Glutenvrij 500g;Trimmi;Soft Snacks;500 g;1;Elke levensfase;11,95;-31% bij 3;Woensdag;Zachte, glutenvrije beloning
Flamingo Buffelhoorn L 400g;Flamingo;Buffelhoorn;410 g;1;Elke levensfase;10,71;-4% bij 2;Morgen;Stevige, langdurig
Boomy Mini Been 2 stuks;Boomy;Varkensbot;400 g;2;Elke levensfase;14,30;-20% bij 3;Morgen;20-25cm, langdurig
Boomy Gevulde Hoefjes 3 stuks;Boomy;Hoefjes;600 g;3;Elke levensfase;15,70;-20% bij 3;Morgen;Stevige kauwsnack
Boomy Paardensticks 200g;Boomy;Sticks;200 g;1;Adult (2-8 jaar);18,60;-20% bij 3;Morgen;Heel hard, voor sterke kauwen
Allerguard anti-allergie 180 stuks;Sharon B;Supplement;500 g;1;Elke levensfase;35,95;-15% bij 4;Donderdag;Tegen jeuk en allergie
Rosewood Grillers Eend 10x100g;Rosewood;Gegrilde snacks;1293 g;10;Elke levensfase;26,90;n.b.;Morgen;58% eendenvlees